person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length
36,124000,0,2.0,0,2000,12.99,0.02,16
33,51888,0,13.0,4,7000,13.98,0.13,10
37,22800,2,18.0,1,7000,6.03,0.31,12
23,112800,0,3.0,1,35000,10.99,0.31,2
23,65000,0,1.0,4,10800,10.0,0.17,4
28,62400,3,2.0,5,14000,10.99,0.22,10
22,60000,0,6.0,0,3950,10.65,0.07,4
23,39000,3,3.0,2,8000,11.36,0.21,3
34,32758,3,0.0,0,8400,14.96,0.26,5
22,30000,3,2.0,4,6000,12.42,0.2,4
30,85000,3,14.0,4,7000,10.65,0.08,9
23,84000,3,7.0,0,10000,5.99,0.12,2
23,57000,2,7.0,1,4200,10.51,0.07,3
24,28900,0,2.0,0,5500,12.98,0.19,2
35,27204,0,16.0,4,1800,7.74,0.07,7
27,66000,3,2.0,1,8000,14.79,0.12,7
31,24000,3,3.0,1,6000,8.49,0.25,5
22,24000,0,6.0,3,2500,7.14,0.1,2
30,65000,0,1.0,4,25000,15.65,0.38,5
33,110000,3,3.0,1,15000,14.42,0.14,9
31,110000,0,2.0,0,6000,9.51,0.05,9
22,27000,3,3.0,3,2800,7.51,0.1,3
22,40000,3,1.0,4,8500,14.35,0.21,2
27,78300,0,11.0,2,9000,10.99,0.11,5
27,50000,3,1.0,4,9900,14.35,0.2,5
26,92500,3,3.0,0,12000,11.71,0.13,3
30,28000,2,5.0,4,6300,11.99,0.23,9
26,60000,0,9.0,4,10000,12.21,0.17,4
37,31200,0,5.0,1,3000,9.99,0.1,16
22,65000,2,6.0,3,3000,13.92,0.05,4
23,32500,2,2.0,5,5000,13.99,0.15,3
31,146000,0,12.0,1,2500,16.7,0.02,9
25,66300,0,6.0,3,20000,15.27,0.26,4
36,280000,3,3.0,0,5000,14.26,0.02,16
22,39600,3,5.0,0,10000,11.71,0.25,2
22,27804,3,2.0,3,3750,13.85,0.13,4
40,33000,0,2.0,3,1000,10.99,0.03,16
24,48000,2,5.0,5,4400,5.99,0.09,4
24,33000,3,8.0,3,5000,10.99,0.15,3
45,47000,3,13.0,3,15000,16.4,0.32,11
34,220000,0,13.0,0,11275,12.99,0.05,8
26,29000,3,2.0,3,1000,7.74,0.03,4
34,170000,0,9.0,5,7500,15.99,0.04,10
21,42000,0,1.0,0,2500,7.29,0.06,4
22,65004,3,4.0,5,15000,16.95,0.23,3
41,381450,0,10.0,4,35000,13.49,0.09,16
24,79200,3,3.0,1,16000,12.67,0.2,2
23,46000,0,6.0,4,15000,6.99,0.33,3
30,72000,0,3.0,3,9000,14.22,0.13,6
25,30000,3,4.0,3,5000,11.86,0.17,4
33,125004,3,3.0,1,12000,15.68,0.1,8
40,14400,3,0.0,3,1000,9.25,0.07,11
26,78000,3,4.0,0,12000,7.14,0.15,2
24,26400,3,3.0,0,4000,10.99,0.15,3
23,92000,0,0.0,1,12950,9.96,0.14,2
22,15000,3,0.0,3,1000,14.3,0.07,3
22,48000,0,2.0,5,13000,10.99,0.27,3
24,81000,3,2.0,0,14000,14.17,0.17,4
31,151000,0,1.0,1,21000,11.97,0.14,8
22,18000,3,0.0,3,3600,10.99,0.2,3
24,24000,3,0.0,5,2000,16.0,0.08,2
27,31200,2,4.0,1,6000,11.71,0.19,6
28,110000,0,12.0,3,15000,10.0,0.14,6
29,400000,0,10.0,1,25000,11.12,0.06,8
24,35000,3,4.0,3,5000,11.71,0.14,3
29,36100,0,2.0,4,14000,14.27,0.39,10
22,35000,3,3.0,1,4800,5.42,0.14,3
25,80000,0,10.0,1,25000,15.31,0.31,2
35,90000,3,0.0,0,12000,10.99,0.13,6
24,50000,0,2.0,3,12000,6.62,0.24,4
23,60000,2,4.0,5,10000,13.22,0.17,4
33,49896,3,8.0,3,7000,10.99,0.14,9
25,180000,2,9.0,3,20000,14.26,0.11,4
35,60000,0,0.0,3,12000,10.75,0.2,8
26,50000,3,1.0,0,7150,12.69,0.14,2
22,120000,0,6.0,5,12000,7.49,0.1,4
22,28000,3,5.0,0,6900,9.99,0.25,3
46,192000,0,1.0,5,25000,14.79,0.13,14
23,67200,3,7.0,1,5650,13.47,0.08,2
22,35000,0,7.0,5,4000,7.29,0.11,2
25,55000,0,2.0,1,14000,15.68,0.25,4
38,91200,0,0.0,1,9000,12.68,0.1,11
28,43000,3,5.0,3,6000,10.39,0.14,5
55,75000,0,6.0,4,7700,14.84,0.1,18
24,65000,3,2.0,0,6400,10.65,0.1,2
46,305000,0,22.0,5,20000,17.93,0.07,13
29,61200,0,2.0,3,15000,17.58,0.21,5
32,12000,3,2.0,0,6075,12.42,0.51,8
25,55000,3,0.0,0,6000,10.65,0.11,2
23,98000,2,6.0,1,10000,18.07,0.1,3
25,22880,3,2.0,5,7000,10.99,0.31,3
24,87504,2,9.0,5,7000,8.88,0.08,3
22,46320,0,6.0,0,15000,12.86,0.32,4
23,60000,3,7.0,4,15000,14.22,0.25,2
23,23000,3,5.0,1,2400,5.99,0.1,3
31,55000,0,3.0,0,6250,9.99,0.11,9
22,55000,3,2.0,5,8400,7.88,0.15,2
22,32400,3,4.0,5,4000,10.99,0.12,2
46,91000,3,0.0,2,22000,18.79,0.24,16
22,50000,2,1.0,1,3600,10.99,0.07,3
36,200000,2,12.0,2,25000,15.2,0.13,13
23,83000,3,0.0,5,12000,7.51,0.14,3
23,82000,3,7.0,2,15000,18.25,0.18,2
31,34000,3,1.0,4,9000,11.48,0.26,5
24,55032,3,8.0,1,12000,9.63,0.22,2
26,32000,3,2.0,3,6500,14.22,0.2,2
27,105000,0,5.0,1,20000,11.48,0.19,6
31,35000,3,1.0,5,11400,6.91,0.33,8
24,53000,0,8.0,2,8000,6.03,0.15,2
23,63000,3,7.0,1,5000,13.23,0.08,4
22,65004,0,6.0,3,6500,9.25,0.1,4
22,24432,3,0.0,1,2000,11.36,0.08,4
39,12000,3,4.0,0,2000,10.65,0.17,16
24,105018,0,8.0,2,28000,15.62,0.27,4
34,75500,3,0.0,1,19200,16.77,0.25,10
23,64000,3,6.0,1,12800,14.35,0.2,4
26,136000,3,2.0,4,12000,14.72,0.09,2
31,96000,2,3.0,5,10000,9.99,0.1,5
28,48000,3,0.0,2,7000,12.68,0.15,10
45,48000,3,5.0,4,14400,8.49,0.3,15
25,96000,0,6.0,1,20000,10.99,0.21,2
27,62570,0,11.0,1,25000,14.84,0.4,5
28,118000,0,6.0,4,25000,20.11,0.21,6
30,110000,3,5.0,5,20000,14.11,0.18,5
55,51000,3,2.0,4,8000,5.79,0.16,26
34,50725,3,1.0,4,5400,13.16,0.11,9
26,90000,3,3.0,1,8000,14.27,0.09,3
22,38000,3,5.0,4,7500,5.79,0.2,4
31,54996,3,6.0,4,5000,10.99,0.09,10
24,6000,3,0.0,4,1050,10.99,0.17,2
23,65000,0,3.0,3,7000,7.9,0.11,4
38,17280,2,0.0,2,1000,16.29,0.06,11
21,36000,3,4.0,4,18000,9.88,0.5,3
28,19200,3,0.0,0,4000,12.69,0.21,8
27,30000,3,5.0,1,12000,11.36,0.4,9
21,37200,3,2.0,3,5100,7.49,0.14,4
28,64000,3,1.0,2,10000,11.66,0.16,8
41,45000,3,2.0,3,16000,12.99,0.36,14
22,125000,3,3.0,3,18000,14.79,0.14,3
31,50000,0,5.0,5,2000,6.39,0.04,7
22,32000,3,0.0,4,7000,10.99,0.22,4
28,85000,0,12.0,3,18000,12.53,0.21,10
32,27000,3,5.0,1,4500,13.11,0.17,5
25,127000,0,9.0,4,6000,9.91,0.05,2
31,29640,3,4.0,0,6250,14.96,0.21,7
27,60000,2,2.0,5,10000,10.38,0.17,6
26,95004,0,10.0,2,24250,8.88,0.26,3
22,41000,3,6.0,5,5000,10.99,0.12,2
27,49536,2,11.0,3,12000,10.38,0.24,10
29,53590,0,2.0,2,11225,11.14,0.21,7
22,37200,3,2.0,1,10000,6.92,0.27,2
32,57000,0,11.0,3,9000,13.35,0.16,5
30,49000,0,2.0,4,16000,13.49,0.33,7
23,45286,3,5.0,4,8000,7.29,0.18,4
39,48000,3,4.0,3,20500,14.59,0.43,16
22,35004,0,0.0,5,8400,10.39,0.24,2
24,24000,3,4.0,0,5000,7.51,0.21,2
41,60000,0,18.0,1,4900,14.09,0.08,12
25,28000,0,4.0,3,9600,6.03,0.34,3
39,44000,0,14.0,4,2500,7.68,0.06,15
24,91000,0,8.0,5,7000,8.0,0.08,3
28,92800,0,0.0,3,12500,9.63,0.13,9
29,60000,3,0.0,5,4000,7.88,0.07,5
23,92111,3,7.0,3,35000,20.25,0.32,4
25,30000,3,2.0,0,5200,17.19,0.17,4
24,74000,0,6.0,3,5000,12.21,0.07,2
21,50000,0,5.0,4,9000,13.49,0.18,2
32,20400,3,2.0,0,8000,8.49,0.39,6
23,78000,0,7.0,1,12400,7.29,0.16,3
26,59497,2,2.0,3,7000,17.88,0.1,2
21,53000,0,5.0,5,18000,13.8,0.34,3
52,25000,3,23.0,3,5000,12.61,0.2,22
47,52000,3,5.0,1,12000,11.99,0.23,14
28,52000,0,10.0,0,13600,7.88,0.26,5
24,21168,3,3.0,5,2800,14.22,0.13,4
25,56000,3,1.0,2,6000,10.74,0.11,2
40,35416,3,15.0,3,2000,6.91,0.06,14
23,43600,0,5.0,0,25000,10.99,0.57,3
24,43000,3,3.0,4,14500,10.75,0.34,2
25,129600,0,0.0,4,3000,11.12,0.02,3
29,35000,3,1.0,3,4000,5.99,0.11,6
24,44000,0,4.0,3,3600,5.79,0.08,2
27,95800,3,1.0,0,2500,11.58,0.03,9
33,48000,2,2.0,2,4750,10.99,0.1,8
24,49000,0,5.0,1,2700,6.92,0.06,3
23,58700,3,8.0,4,1200,11.71,0.02,4
22,37000,3,6.0,4,14000,6.92,0.38,2
24,54996,2,0.0,5,12000,11.26,0.22,3
25,90000,0,9.0,5,5600,9.99,0.06,4
27,113400,2,6.0,5,2100,11.99,0.02,7
28,42000,0,13.0,4,8500,14.96,0.2,10
35,62000,0,0.0,1,9475,6.03,0.15,5
28,65000,0,5.0,3,4500,15.96,0.07,9
24,120000,0,8.0,4,8575,10.99,0.07,3
37,58000,3,9.0,5,18200,10.99,0.31,17
23,24000,2,0.0,1,7000,7.14,0.29,3
22,48000,0,6.0,3,3800,10.99,0.08,2
22,78000,0,6.0,1,7750,7.51,0.1,4
22,82000,3,2.0,1,1600,11.89,0.02,2
23,45000,3,2.0,1,9600,10.25,0.21,2
24,38001,3,4.0,0,12000,6.17,0.32,3
25,40000,3,9.0,4,13000,10.99,0.33,3
22,42000,0,6.0,5,14750,12.99,0.35,3
27,81000,3,0.0,5,6000,7.14,0.07,9
33,110000,3,3.0,2,12000,10.65,0.11,5
22,24000,3,1.0,1,2000,13.11,0.08,4
27,37200,3,0.0,3,13500,10.78,0.36,6
27,77700,3,5.0,3,2400,10.99,0.03,5
23,36000,3,3.0,4,14400,13.57,0.4,2
22,80000,0,5.0,5,5000,11.36,0.06,3
36,107004,0,3.0,2,13000,11.83,0.12,15
30,71000,3,8.0,3,8000,11.12,0.11,8
24,70000,0,9.0,3,7500,8.32,0.11,2
21,98132,0,5.0,3,15000,11.36,0.15,4
24,57000,0,8.0,3,20000,19.13,0.35,3
28,50176,3,3.0,5,5000,10.59,0.1,7
23,31800,3,4.0,0,10000,15.33,0.31,4
23,65000,3,7.0,4,16000,14.59,0.25,4
32,60000,0,16.0,3,6000,6.62,0.1,7
25,45000,3,0.0,4,14500,13.16,0.32,2
30,36000,3,5.0,1,11500,15.27,0.32,8
26,84000,0,10.0,4,7500,12.69,0.09,3
22,56000,0,3.0,1,10075,16.29,0.18,4
33,37000,0,2.0,3,13000,10.36,0.35,9
22,52000,3,1.0,1,12000,13.61,0.23,3
36,214200,0,4.0,2,9400,15.62,0.04,12
38,36000,0,14.0,5,18000,10.38,0.5,13
33,35360,0,7.0,3,6350,7.51,0.18,5
